"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestGermanySchema","","","test_capital_is_list",""
"passed","Tue May 26 07:37:17 UTC 2026","Tue May 26 07:37:17 UTC 2026","0","tests","weather","TestWeatherForecast","","","test_full_schema[Tokyo]",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestGermanySchema","","","test_population_positive",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestCountriesPerformance","","","test_all_fields_response_time",""
"passed","Tue May 26 07:37:16 UTC 2026","Tue May 26 07:37:16 UTC 2026","1","tests","weather","TestWeatherForecast","","","test_hourly_entries_count_positive[New York]",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestAllCountriesPopulation","","","test_majority_of_countries_have_positive_population","
        The overwhelming majority of entries must have population > 0.
        Uninhabited territories (population = 0) should be a small minority.
        "
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestRegionEurope","","","test_result_count_exceeds_40",""
"passed","Tue May 26 07:37:17 UTC 2026","Tue May 26 07:37:17 UTC 2026","1","tests","weather","TestWeatherForecast","","","test_hourly_entries_count_positive[Sydney]",""
"passed","Tue May 26 07:37:16 UTC 2026","Tue May 26 07:37:16 UTC 2026","0","tests","weather","TestWeatherForecast","","","test_temperature_range_reasonable[London]",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestGermanySchema","","","test_full_schema",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestCountriesPerformance","","","test_region_europe_response_time",""
"passed","Tue May 26 07:37:17 UTC 2026","Tue May 26 07:37:17 UTC 2026","1","tests","weather","TestWeatherForecast","","","test_full_schema[Sydney]",""
"passed","Tue May 26 07:37:18 UTC 2026","Tue May 26 07:37:18 UTC 2026","1","tests","weather","TestWeatherForecast","","","test_hourly_entries_count_positive[S\xe3o Paulo]",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestGermanySchema","","","test_currencies_is_dict",""
"skipped","Tue May 26 07:37:13 UTC 2026","Tue May 26 07:37:13 UTC 2026","0","tests","countries","TestCrossReference","","","test_germany_appears_in_europe",""
